"","Var1","Var2","Freq"
"1","2","1",0
"2","2.5","1",0
"3","3","1",0
"4","3.5","1",0
"5","4","1",0
"6","4.5","1",0
"7","5","1",0
"8","5.5","1",0
"9","6","1",0
"10","6.5","1",0
"11","7","1",0
"12","7.5","1",0
"13","8","1",0
"14","8.5","1",0.5
"15","9","1",0
"16","9.5","1",0
"17","10","1",0
"18","10.5","1",1
"19","11","1",9.5
"20","11.5","1",27
"21","2","2",0
"22","2.5","2",0
"23","3","2",0
"24","3.5","2",0
"25","4","2",0
"26","4.5","2",0
"27","5","2",0
"28","5.5","2",0
"29","6","2",0
"30","6.5","2",0
"31","7","2",0
"32","7.5","2",0
"33","8","2",0
"34","8.5","2",0
"35","9","2",0.5
"36","9.5","2",0
"37","10","2",1
"38","10.5","2",0.5
"39","11","2",1.5
"40","11.5","2",7
"41","2","3",0
"42","2.5","3",0
"43","3","3",0
"44","3.5","3",0
"45","4","3",0
"46","4.5","3",0
"47","5","3",0
"48","5.5","3",0
"49","6","3",0
"50","6.5","3",0
"51","7","3",0
"52","7.5","3",0.5
"53","8","3",1
"54","8.5","3",3
"55","9","3",9.5
"56","9.5","3",5
"57","10","3",1.5
"58","10.5","3",2
"59","11","3",4
"60","11.5","3",5.5
"61","2","4",0
"62","2.5","4",0
"63","3","4",0
"64","3.5","4",0
"65","4","4",0
"66","4.5","4",0
"67","5","4",0
"68","5.5","4",0
"69","6","4",4
"70","6.5","4",16
"71","7","4",11.5
"72","7.5","4",6.5
"73","8","4",7.5
"74","8.5","4",7.5
"75","9","4",3.5
"76","9.5","4",11
"77","10","4",15
"78","10.5","4",13.5
"79","11","4",4
"80","11.5","4",0
"81","2","5",0
"82","2.5","5",0
"83","3","5",0
"84","3.5","5",0
"85","4","5",5
"86","4.5","5",2.5
"87","5","5",2
"88","5.5","5",2
"89","6","5",2
"90","6.5","5",0
"91","7","5",1
"92","7.5","5",1
"93","8","5",2.5
"94","8.5","5",2
"95","9","5",4.5
"96","9.5","5",23.5
"97","10","5",18
"98","10.5","5",10.5
"99","11","5",15
"100","11.5","5",4.5
"101","2","6",0
"102","2.5","6",0
"103","3","6",0
"104","3.5","6",0
"105","4","6",0
"106","4.5","6",0
"107","5","6",0
"108","5.5","6",0
"109","6","6",12
"110","6.5","6",4
"111","7","6",2
"112","7.5","6",20
"113","8","6",24
"114","8.5","6",16
"115","9","6",14
"116","9.5","6",2
"117","10","6",4
"118","10.5","6",2
"119","11","6",0
"120","11.5","6",0
"121","2","7",0
"122","2.5","7",0
"123","3","7",0
"124","3.5","7",0
"125","4","7",0
"126","4.5","7",0
"127","5","7",0
"128","5.5","7",0
"129","6","7",0
"130","6.5","7",0
"131","7","7",0
"132","7.5","7",0
"133","8","7",0
"134","8.5","7",0
"135","9","7",0
"136","9.5","7",0
"137","10","7",0
"138","10.5","7",0
"139","11","7",4.5
"140","11.5","7",18.5
"141","2","8",0
"142","2.5","8",0
"143","3","8",0
"144","3.5","8",0
"145","4","8",0
"146","4.5","8",0
"147","5","8",0
"148","5.5","8",0
"149","6","8",0
"150","6.5","8",0
"151","7","8",0
"152","7.5","8",0
"153","8","8",0
"154","8.5","8",0
"155","9","8",0
"156","9.5","8",0
"157","10","8",0
"158","10.5","8",0
"159","11","8",0
"160","11.5","8",0.5
"161","2","9",0
"162","2.5","9",0
"163","3","9",0
"164","3.5","9",0
"165","4","9",0
"166","4.5","9",0.5
"167","5","9",0
"168","5.5","9",1
"169","6","9",2
"170","6.5","9",3.5
"171","7","9",2
"172","7.5","9",2
"173","8","9",5
"174","8.5","9",5
"175","9","9",8.5
"176","9.5","9",15.5
"177","10","9",28
"178","10.5","9",14
"179","11","9",11.5
"180","11.5","9",1.5
"181","2","10",0
"182","2.5","10",0
"183","3","10",0
"184","3.5","10",0
"185","4","10",0
"186","4.5","10",0
"187","5","10",0
"188","5.5","10",0
"189","6","10",0
"190","6.5","10",0
"191","7","10",0
"192","7.5","10",0
"193","8","10",0
"194","8.5","10",0
"195","9","10",0
"196","9.5","10",0
"197","10","10",0
"198","10.5","10",0
"199","11","10",1.5
"200","11.5","10",1.5
"201","2","11",0
"202","2.5","11",0
"203","3","11",0
"204","3.5","11",0
"205","4","11",0
"206","4.5","11",0
"207","5","11",0.5
"208","5.5","11",9.5
"209","6","11",31.5
"210","6.5","11",29
"211","7","11",13
"212","7.5","11",10.5
"213","8","11",4.5
"214","8.5","11",1.5
"215","9","11",0
"216","9.5","11",0
"217","10","11",0
"218","10.5","11",0
"219","11","11",0
"220","11.5","11",0
"221","2","12",0
"222","2.5","12",0
"223","3","12",0
"224","3.5","12",0
"225","4","12",0
"226","4.5","12",1
"227","5","12",13.5
"228","5.5","12",11.5
"229","6","12",11
"230","6.5","12",11
"231","7","12",15.5
"232","7.5","12",9.5
"233","8","12",6
"234","8.5","12",2
"235","9","12",1
"236","9.5","12",0.5
"237","10","12",1
"238","10.5","12",0
"239","11","12",0
"240","11.5","12",0
"241","2","13",0
"242","2.5","13",0
"243","3","13",0
"244","3.5","13",0
"245","4","13",0
"246","4.5","13",0
"247","5","13",0
"248","5.5","13",0
"249","6","13",0
"250","6.5","13",0.5
"251","7","13",2.5
"252","7.5","13",1.5
"253","8","13",3
"254","8.5","13",0.5
"255","9","13",7
"256","9.5","13",16
"257","10","13",28.5
"258","10.5","13",17
"259","11","13",17
"260","11.5","13",5
"261","2","16",0
"262","2.5","16",0
"263","3","16",0
"264","3.5","16",0
"265","4","16",0
"266","4.5","16",0
"267","5","16",0
"268","5.5","16",0
"269","6","16",0
"270","6.5","16",0
"271","7","16",0
"272","7.5","16",0
"273","8","16",0
"274","8.5","16",0
"275","9","16",0
"276","9.5","16",0
"277","10","16",0
"278","10.5","16",0
"279","11","16",0
"280","11.5","16",0
"281","2","17",0
"282","2.5","17",0
"283","3","17",0
"284","3.5","17",0
"285","4","17",0
"286","4.5","17",0
"287","5","17",0
