"","Talla","Latitud","Frecuencia"
"1","2","18 00",NA
"2","2.5","18 00",NA
"3","3","18 00",NA
"4","3.5","18 00",NA
"5","4","18 00",NA
"6","4.5","18 00",NA
"7","5","18 00",NA
"8","5.5","18 00",NA
"9","6","18 00",NA
"10","6.5","18 00",NA
"11","7","18 00",NA
"12","7.5","18 00",NA
"13","8","18 00",NA
"14","8.5","18 00",NA
"15","9","18 00",NA
"16","9.5","18 00",NA
"17","10","18 00",NA
"18","10.5","18 00",NA
"19","11","18 00",NA
"20","11.5","18 00",NA
"21","12","18 00",NA
"22","12.5","18 00",NA
"23","13","18 00",NA
"24","13.5","18 00",NA
"25","14","18 00",NA
"26","14.5","18 00",NA
"27","15","18 00",NA
"28","15.5","18 00",NA
"29","16","18 00",NA
"30","16.5","18 00",NA
"31","17","18 00",NA
"32","17.5","18 00",NA
"33","18","18 00",NA
"34","18.5","18 00",NA
"35","19","18 00",NA
"36","19.5","18 00",NA
"37","20","18 00",NA
"38","2","18 30",0
"39","2.5","18 30",0
"40","3","18 30",0
"41","3.5","18 30",0
"42","4","18 30",0
"43","4.5","18 30",0
"44","5","18 30",0
"45","5.5","18 30",0
"46","6","18 30",0
"47","6.5","18 30",0
"48","7","18 30",0
"49","7.5","18 30",0
"50","8","18 30",0
"51","8.5","18 30",0.0025
"52","9","18 30",0.0025
"53","9.5","18 30",0
"54","10","18 30",0.005
"55","10.5","18 30",0.0075
"56","11","18 30",0.055
"57","11.5","18 30",0.17
"58","12","18 30",0.335
"59","12.5","18 30",0.2275
"60","13","18 30",0.15
"61","13.5","18 30",0.0375
"62","14","18 30",0.005
"63","14.5","18 30",0.0025
"64","15","18 30",0
"65","15.5","18 30",0
"66","16","18 30",0
"67","16.5","18 30",0
"68","17","18 30",0
"69","17.5","18 30",0
"70","18","18 30",0
"71","18.5","18 30",0
"72","19","18 30",0
"73","19.5","18 30",0
"74","20","18 30",0
"75","2","19 00",0
"76","2.5","19 00",0
"77","3","19 00",0
"78","3.5","19 00",0
"79","4","19 00",0
"80","4.5","19 00",0
"81","5","19 00",0
"82","5.5","19 00",0
"83","6","19 00",0
"84","6.5","19 00",0
"85","7","19 00",0
"86","7.5","19 00",0.005
"87","8","19 00",0.01
"88","8.5","19 00",0.03
"89","9","19 00",0.095
"90","9.5","19 00",0.05
"91","10","19 00",0.015
"92","10.5","19 00",0.02
"93","11","19 00",0.04
"94","11.5","19 00",0.055
"95","12","19 00",0.195
"96","12.5","19 00",0.2
"97","13","19 00",0.19
"98","13.5","19 00",0.09
"99","14","19 00",0.005
"100","14.5","19 00",0
"101","15","19 00",0
"102","15.5","19 00",0
"103","16","19 00",0
"104","16.5","19 00",0
"105","17","19 00",0
"106","17.5","19 00",0
"107","18","19 00",0
"108","18.5","19 00",0
"109","19","19 00",0
"110","19.5","19 00",0
"111","20","19 00",0
