"","Talla","Lance","Frecuencia"
"1","2","1",0
"2","2.5","1",0
"3","3","1",0
"4","3.5","1",0
"5","4","1",0
"6","4.5","1",0
"7","5","1",0
"8","5.5","1",0
"9","6","1",0
"10","6.5","1",0
"11","7","1",0
"12","7.5","1",0
"13","8","1",0
"14","8.5","1",0.005
"15","9","1",0
"16","9.5","1",0
"17","10","1",0
"18","10.5","1",0.01
"19","11","1",0.095
"20","11.5","1",0.27
"21","12","1",0.415
"22","12.5","1",0.145
"23","13","1",0.06
"24","13.5","1",0
"25","14","1",0
"26","14.5","1",0
"27","15","1",0
"28","15.5","1",0
"29","16","1",0
"30","16.5","1",0
"31","17","1",0
"32","17.5","1",0
"33","18","1",0
"34","18.5","1",0
"35","19","1",0
"36","19.5","1",0
"37","20","1",0
"38","2","2",0
"39","2.5","2",0
"40","3","2",0
"41","3.5","2",0
"42","4","2",0
"43","4.5","2",0
"44","5","2",0
"45","5.5","2",0
"46","6","2",0
"47","6.5","2",0
"48","7","2",0
"49","7.5","2",0
"50","8","2",0
"51","8.5","2",0
"52","9","2",0.005
"53","9.5","2",0
"54","10","2",0.01
"55","10.5","2",0.005
"56","11","2",0.015
"57","11.5","2",0.07
"58","12","2",0.255
"59","12.5","2",0.31
"60","13","2",0.24
"61","13.5","2",0.075
"62","14","2",0.01
"63","14.5","2",0.005
"64","15","2",0
"65","15.5","2",0
"66","16","2",0
"67","16.5","2",0
"68","17","2",0
"69","17.5","2",0
"70","18","2",0
"71","18.5","2",0
"72","19","2",0
"73","19.5","2",0
"74","20","2",0
"75","2","3",0
"76","2.5","3",0
"77","3","3",0
"78","3.5","3",0
"79","4","3",0
"80","4.5","3",0
"81","5","3",0
"82","5.5","3",0
"83","6","3",0
"84","6.5","3",0
"85","7","3",0
"86","7.5","3",0.005
"87","8","3",0.01
"88","8.5","3",0.03
"89","9","3",0.095
"90","9.5","3",0.05
"91","10","3",0.015
"92","10.5","3",0.02
"93","11","3",0.04
"94","11.5","3",0.055
"95","12","3",0.195
"96","12.5","3",0.2
"97","13","3",0.19
"98","13.5","3",0.09
"99","14","3",0.005
"100","14.5","3",0
"101","15","3",0
"102","15.5","3",0
"103","16","3",0
"104","16.5","3",0
"105","17","3",0
"106","17.5","3",0
"107","18","3",0
"108","18.5","3",0
"109","19","3",0
"110","19.5","3",0
"111","20","3",0
"112","2","4",0
"113","2.5","4",0
"114","3","4",0
"115","3.5","4",0
"116","4","4",0
"117","4.5","4",0
"118","5","4",0
"119","5.5","4",0
"120","6","4",0.04
"121","6.5","4",0.16
"122","7","4",0.115
"123","7.5","4",0.065
"124","8","4",0.075
"125","8.5","4",0.075
"126","9","4",0.035
"127","9.5","4",0.11
"128","10","4",0.15
"129","10.5","4",0.135
"130","11","4",0.04
"131","11.5","4",0
"132","12","4",0
"133","12.5","4",0
"134","13","4",0
"135","13.5","4",0
"136","14","4",0
"137","14.5","4",0
"138","15","4",0
"139","15.5","4",0
"140","16","4",0
"141","16.5","4",0
"142","17","4",0
"143","17.5","4",0
"144","18","4",0
"145","18.5","4",0
"146","19","4",0
"147","19.5","4",0
"148","20","4",0
"149","2","5",0
"150","2.5","5",0
"151","3","5",0
"152","3.5","5",0
"153","4","5",0.05
"154","4.5","5",0.025
"155","5","5",0.02
"156","5.5","5",0.02
"157","6","5",0.02
"158","6.5","5",0
"159","7","5",0.01
"160","7.5","5",0.01
"161","8","5",0.025
"162","8.5","5",0.02
"163","9","5",0.045
"164","9.5","5",0.235
"165","10","5",0.18
"166","10.5","5",0.105
"167","11","5",0.15
"168","11.5","5",0.045
"169","12","5",0.035
"170","12.5","5",0
"171","13","5",0
"172","13.5","5",0.005
"173","14","5",0
"174","14.5","5",0
"175","15","5",0
"176","15.5","5",0
"177","16","5",0
"178","16.5","5",0
"179","17","5",0
"180","17.5","5",0
"181","18","5",0
"182","18.5","5",0
"183","19","5",0
"184","19.5","5",0
"185","20","5",0
"186","2","6",0
"187","2.5","6",0
"188","3","6",0
"189","3.5","6",0
"190","4","6",0
"191","4.5","6",0
"192","5","6",0
"193","5.5","6",0
"194","6","6",0.12
"195","6.5","6",0.04
"196","7","6",0.02
"197","7.5","6",0.2
"198","8","6",0.24
"199","8.5","6",0.16
"200","9","6",0.14
"201","9.5","6",0.02
"202","10","6",0.04
"203","10.5","6",0.02
"204","11","6",0
"205","11.5","6",0
"206","12","6",0
"207","12.5","6",0
"208","13","6",0
"209","13.5","6",0
"210","14","6",0
"211","14.5","6",0
"212","15","6",0
"213","15.5","6",0
"214","16","6",0
"215","16.5","6",0
"216","17","6",0
"217","17.5","6",0
"218","18","6",0
"219","18.5","6",0
"220","19","6",0
"221","19.5","6",0
"222","20","6",0
"223","2","7",0
"224","2.5","7",0
"225","3","7",0
"226","3.5","7",0
"227","4","7",0
"228","4.5","7",0
"229","5","7",0
"230","5.5","7",0
"231","6","7",0
"232","6.5","7",0
"233","7","7",0
"234","7.5","7",0
"235","8","7",0
"236","8.5","7",0
"237","9","7",0
"238","9.5","7",0
"239","10","7",0
"240","10.5","7",0
"241","11","7",0.045
"242","11.5","7",0.185
"243","12","7",0.265
"244","12.5","7",0.27
"245","13","7",0.185
"246","13.5","7",0.05
"247","14","7",0
"248","14.5","7",0
"249","15","7",0
"250","15.5","7",0
"251","16","7",0
"252","16.5","7",0
"253","17","7",0
"254","17.5","7",0
"255","18","7",0
"256","18.5","7",0
"257","19","7",0
"258","19.5","7",0
"259","20","7",0
"260","2","8",0
"261","2.5","8",0
"262","3","8",0
"263","3.5","8",0
"264","4","8",0
"265","4.5","8",0
"266","5","8",0
"267","5.5","8",0
"268","6","8",0
"269","6.5","8",0
"270","7","8",0
"271","7.5","8",0
"272","8","8",0
"273","8.5","8",0
"274","9","8",0
"275","9.5","8",0
"276","10","8",0
"277","10.5","8",0
"278","11","8",0
"279","11.5","8",0.005
"280","12","8",0.025
"281","12.5","8",0.085
