"","Talla","Frecuencia"
"1","2",0
"2","2.5",0
"3","3",0
"4","3.5",0
"5","4",0.00348918353105373
"6","4.5",0.00279134682484299
"7","5",0.0111653872993719
"8","5.5",0.0167480809490579
"9","6",0.0376831821353803
"10","6.5",0.0432658757850663
"11","7",0.0324494068387997
"12","7.5",0.026168876482903
"13","8",0.0265177948360084
"14","8.5",0.0191905094207955
"15","9",0.0268667131891137
"16","9.5",0.052337752965806
"17","10",0.0666434054431263
"18","10.5",0.0418702023726448
"19","11",0.0478018143754361
"20","11.5",0.0505931612002791
"21","12",0.0956036287508723
"22","12.5",0.099092812281926
"23","13",0.105373342637823
"24","13.5",0.0750174459176553
"25","14",0.0725750174459177
"26","14.5",0.0268667131891137
"27","15",0.0115143056524773
"28","15.5",0.0052337752965806
"29","16",0.00209351011863224
"30","16.5",0.00104675505931612
"31","17",0
"32","17.5",0
"33","18",0
"34","18.5",0
"35","19",0
"36","19.5",0
"37","20",0
